,filename,cycle,sound,location
0,normal__201102081321.wav,1,S1,10021
1,normal__201102081321.wav,1,S2,20759
2,normal__201102081321.wav,2,S1,35075
3,normal__201102081321.wav,2,S2,47244
4,normal__201102081321.wav,3,S1,62992
5,normal__201102081321.wav,3,S2,73729
6,normal__201102081321.wav,4,S1,88761
7,normal__201102081321.wav,4,S2,101646
8,normal__201102081321.wav,5,S1,115246
9,normal__201102081321.wav,5,S2,127415
10,normal__201102081321.wav,6,S1,143163
11,normal__201102081321.wav,6,S2,153900
12,normal__201102081321.wav,7,S1,168216
13,normal__201102081321.wav,7,S2,180385
14,normal__201102081321.wav,8,S1,195417
15,normal__201102081321.wav,8,S2,206155
16,normal__201102081321.wav,9,S1,220471
17,normal__201102081321.wav,9,S2,231924
18,normal__201102081321.wav,10,S1,272010
19,normal__201102081321.wav,10,S2,283463
20,normal__201102081321.wav,11,S1,297779
21,normal__201102081321.wav,11,S2,309232
22,normal__201102081321.wav,12,S1,324264
23,normal__201102081321.wav,12,S2,335001
24,normal__201102260502.wav,1,S1,11526
25,normal__201102260502.wav,1,S2,27941
26,normal__201102260502.wav,2,S1,42197
27,normal__201102260502.wav,2,S2,58163
28,normal__201102260502.wav,3,S1,71278
29,normal__201102260502.wav,3,S2,88955
30,normal__201102260502.wav,4,S1,102641
31,normal__201102260502.wav,4,S2,122028
32,normal__201102260502.wav,5,S1,134573
33,normal__201102260502.wav,5,S2,152821
34,normal__201102260502.wav,6,S1,184753
35,normal__201102260502.wav,6,S2,197869
36,normal__201102260502.wav,7,S1,216686
37,normal__201102260502.wav,7,S2,230942
38,normal__201102260502.wav,8,S1,251211
39,normal__201102260502.wav,8,S2,265168
40,normal__201103090635.wav,1,S1,5366
41,normal__201103090635.wav,1,S2,17632
42,normal__201103090635.wav,2,S1,31432
43,normal__201103090635.wav,2,S2,44464
44,normal__201103090635.wav,3,S1,59030
45,normal__201103090635.wav,3,S2,71296
46,normal__201103090635.wav,4,S1,86629
47,normal__201103090635.wav,4,S2,99661
48,normal__201103090635.wav,5,S1,116527
49,normal__201103090635.wav,5,S2,128793
50,normal__201103090635.wav,6,S1,144125
51,normal__201103090635.wav,6,S2,156391
52,normal__201103090635.wav,7,S1,174024
53,normal__201103090635.wav,7,S2,185523
54,normal__201103090635.wav,8,S1,200856
55,normal__201103090635.wav,8,S2,213122
56,normal__201103090635.wav,9,S1,226154
57,normal__201103090635.wav,9,S2,239187
58,normal__201103090635.wav,10,S1,252220
59,normal__201103090635.wav,10,S2,265252
60,normal__201103090635.wav,11,S1,277518
61,normal__201103090635.wav,11,S2,290551
62,normal__201103090635.wav,12,S1,303583
63,normal__201103090635.wav,12,S2,315849
64,normal__201103090635.wav,13,S1,329649
65,normal__201103090635.wav,13,S2,342681
66,normal__201103140132.wav,1,S1,16358
67,normal__201103140132.wav,1,S2,29272
68,normal__201103140132.wav,2,S1,89539
69,normal__201103140132.wav,2,S2,105036
70,normal__201103140132.wav,3,S1,128282
71,normal__201103140132.wav,3,S2,142057
72,normal__201103140132.wav,4,S1,170469
73,normal__201103140132.wav,4,S2,183383
74,normal__201103140132.wav,5,S1,207490
75,normal__201103140132.wav,5,S2,221265
76,normal__201103140132.wav,6,S1,242789
77,normal__201103140132.wav,6,S2,256564
78,normal__201103140132.wav,7,S1,279810
79,normal__201103140132.wav,7,S2,292725
80,normal__201103140132.wav,8,S1,320275
81,normal__201103140132.wav,8,S2,334911
82,normal__201103140132.wav,9,S1,363323
83,normal__201103140132.wav,9,S2,377098
84,normal__201103140822.wav,1,S1,3444
85,normal__201103140822.wav,1,S2,18080
86,normal__201103140822.wav,2,S1,44770
87,normal__201103140822.wav,2,S2,58545
88,normal__201103140822.wav,3,S1,84374
89,normal__201103140822.wav,3,S2,98149
90,normal__201103140822.wav,4,S1,123977
91,normal__201103140822.wav,4,S2,134309
92,normal__201103140822.wav,5,S1,157555
93,normal__201103140822.wav,5,S2,175635
94,normal__201103140822.wav,6,S1,195437
95,normal__201103140822.wav,6,S2,214378
96,normal__201103151912.wav,1,S1,3244
97,normal__201103151912.wav,1,S2,12053
98,normal__201103151912.wav,2,S1,25829
99,normal__201103151912.wav,2,S2,61128
100,normal__201103151912.wav,3,S1,79208
101,normal__201103151912.wav,3,S2,96427
102,normal__201103151912.wav,4,S1,117090
103,normal__201103151912.wav,4,S2,133448
104,normal__201103151912.wav,5,S1,152389
105,normal__201103151912.wav,5,S2,167886
106,normal__201103151912.wav,6,S1,202324
107,normal__201103151912.wav,6,S2,222987
108,normal__201103221214.wav,1,S1,27831
109,normal__201103221214.wav,1,S2,39095
110,normal__201103221214.wav,2,S1,54667
111,normal__201103221214.wav,2,S2,65601
112,normal__201103221214.wav,3,S1,81173
113,normal__201103221214.wav,3,S2,92769
114,normal__201103221214.wav,4,S1,108341
115,normal__201103221214.wav,4,S2,119605
116,normal__201103221214.wav,5,S1,135509
117,normal__201103221214.wav,5,S2,146442
118,normal__201104141251.wav,1,S1,21189
119,normal__201104141251.wav,1,S2,32879
120,normal__201104141251.wav,2,S1,51876
121,normal__201104141251.wav,2,S2,64297
122,normal__201104141251.wav,3,S1,83294
123,normal__201104141251.wav,3,S2,96446
124,normal__201104141251.wav,4,S1,116904
125,normal__201104141251.wav,4,S2,129326
126,normal__201104141251.wav,5,S1,149053
127,normal__201104141251.wav,5,S2,162205
128,normal__201104141251.wav,6,S1,180471
129,normal__201104141251.wav,6,S2,192623
130,normal__201104141251.wav,7,S1,211889
131,normal__201104141251.wav,7,S2,225041
132,normal__201104141251.wav,8,S1,245499
133,normal__201104141251.wav,8,S2,257920
134,normal__201104141251.wav,9,S1,279109
135,normal__201104141251.wav,9,S2,290800
136,normal__201105011626.wav,1,S1,2855
137,normal__201105011626.wav,1,S2,15497
138,normal__201105011626.wav,2,S1,23246
139,normal__201105011626.wav,2,S2,35299
140,normal__201105011626.wav,3,S1,43048
141,normal__201105011626.wav,3,S2,55962
142,normal__201105011626.wav,4,S1,63711
143,normal__201105011626.wav,4,S2,75764
144,normal__201105011626.wav,5,S1,84374
145,normal__201105011626.wav,5,S2,96427
146,normal__201105011626.wav,6,S1,105036
147,normal__201105011626.wav,6,S2,116229
148,normal__201105011626.wav,7,S1,124838
149,normal__201105011626.wav,7,S2,136031
150,normal__201105011626.wav,8,S1,143779
151,normal__201105011626.wav,8,S2,164899
152,normal__201105011626.wav,9,S1,155833
153,normal__201105011626.wav,9,S2,177357
154,normal__201105011626.wav,10,S1,184244
155,normal__201105011626.wav,10,S2,196298
156,normal__201105011626.wav,11,S1,205768
157,normal__201105011626.wav,11,S2,216100
158,normal__201105011626.wav,12,S1,224709
159,normal__201105011626.wav,12,S2,237623
160,normal__201105011626.wav,13,S1,245372
161,normal__201105011626.wav,13,S2,257425
162,normal__201105011626.wav,14,S1,266035
163,normal__201105011626.wav,14,S2,278949
164,normal__201105011626.wav,15,S1,287559
165,normal__201105011626.wav,15,S2,302195
166,normal__201105011626.wav,16,S1,307361
167,normal__201105011626.wav,16,S2,321136
