id,caption
normal__201108011112,Normal heart sounds were auscultated.
artifact__201012172012,Artifact heart sounds were noted during auscultation.
normal__232_1308748524018_D1,The auscultation revealed regular and symmetrical heart sounds.
extrahls__201104140118,"An additional heart sound, known as an extra heart sound, was detected during the examination."
normal__184_1308073010307_D,"During examination, normal heart sounds were heard."
normal_noisynormal_109_1305653972028_F,The auscultatory findings indicated the presence of normal heart sounds.
normal_noisynormal_264_1309356143724_B,The stethoscope revealed normal heart sounds without any murmurs or abnormalities.
normal_noisynormal_109_1305653646620_A,"Upon auscultation, the patient exhibited clear and normal heart sounds."
murmur__293_1311680805936_B1,"During the examination, a murmur heart sound was detected."
extrahls__201103170134,"An extra heart sound, beyond the normal S1 and S2, was auscultated during the examination."
artifact__201105280851,There were abnormal or extraneous sounds interfering with the heart sounds during examination.
normal_noisynormal_173_1307973611151_C1,Normal S1 and S2 heart sounds were appreciated during auscultation.
normal_noisynormal_115_1306259437619_B,The auscultatory examination revealed no evidence of abnormal heart sounds.
murmur__240_1309201366049_B,"An abnormal heart sound, known as a murmur, was auscultated during the examination."
normal__210_1308162935880_D2,The assessment of heart sounds during auscultation demonstrated a normal cardiac rhythm.
murmur__201108222256,The auscultation revealed the presence of a murmur heart sound.
murmur__201108222242,"An atypical heart sound, resembling a murmur, was heard during the examination."
artifact__201106010559,"The auscultation revealed the presence of artifact heart sounds, possibly due to external interference."
normal_noisynormal_141_1306520154450_A1,"Auscultation findings indicated the absence of any abnormal sounds, confirming normal heart sounds."
normal__300_1311772096120_C1,Normal heart sounds are present.
murmur__201108222243,"During auscultation, an additional sound characteristic of a murmur was observed."
murmur__201104021355,The examination findings indicated the presence of a murmur heart sound.
normal__177_1307989650056_B,The patient has regular and normal heart sounds.
normal_noisynormal_264_1309356143724_C,Auscultation reveals the presence of normal heart sounds.
extrastole__209_1308162216750_D,Extrasystoles were identified in the heart sound recording.
murmur__200_1308144251434_C,"An abnormal sound, suggestive of a murmur, was appreciated during auscultation."
normal__208_1308159994503_C,The cardiac examination indicates the presence of normal heart sounds.
normal__139_1306519274653_A,Normal S1 and S2 heart sounds are heard.
normal__201104122156,There are no abnormal heart sounds detected; the heart sounds are normal.
murmur_noisymurmur_165_1307109069581_C1,A murmur heart sound was discerned during the examination.
normal_noisynormal_109_1305653972028_E,The auscultatory findings confirm the presence of normal heart sounds.
normal__201103090635,"Upon listening to the heart, normal heart sounds are appreciated."
extrahls__201104270458,"During auscultation, an additional heart sound, sometimes referred to as an S3 or S4 sound, was observed."
normal__210_1308162935880_D1,The patient exhibits clear and normal heart sounds.
artifact__201105061143,"Certain noise or interference was observed during auscultation, affecting the clarity of the heart sounds."
normal_noisynormal_188_1308074301731_A,Normal heart sounds are auscultated without any murmurs or abnormalities.
murmur__201108222255,The auscultatory findings confirmed the presence of a murmur heart sound.
normal_noisynormal_296_1311682952647_D,Normal heart sounds were auscultated.
normal__215_1308245664733_C,The auscultation revealed regular and symmetrical heart sounds.
artifact__201106141701,"Artificial sounds were detected during the assessment of heart sounds, possibly caused by external factors."
normal__194_1308139824187_A,"During examination, normal heart sounds were heard."
extrahls__201104270459,"The examination revealed the presence of an extra heart sound, indicating possible cardiac abnormalities."
artifact__201106070537,"The presence of artifact heart sounds was noted, likely due to environmental or technical factors."
normal_noisynormal_151_1306779785624_C,The auscultatory findings indicated the presence of normal heart sounds.
extrastole__224_1308337157445_B,The heart sound recording revealed the presence of extrasystoles.
normal_noisynormal_189_1308075231945_A1,The stethoscope revealed normal heart sounds without any murmurs or abnormalities.
artifact__201106161016,Interference or artifact noise was heard alongside the heart sounds during auscultation.
normal__129_1306344506305_B1,"Upon auscultation, the patient exhibited clear and normal heart sounds."
normal_noisynormal_285_1311169246969_C,Normal S1 and S2 heart sounds were appreciated during auscultation.
normal__175_1307987962616_B,The auscultatory examination revealed no evidence of abnormal heart sounds.
normal_noisynormal_136_1306429977501_D1,The assessment of heart sounds during auscultation demonstrated a normal cardiac rhythm.
