,set,filename
0,A,Aunlabelledtest__201012172010.wav
1,A,Aunlabelledtest__201101051105.wav
2,A,Aunlabelledtest__201101061552.wav
3,A,Aunlabelledtest__201101091156.wav
4,A,Aunlabelledtest__201101110659.wav
5,A,Aunlabelledtest__201101152256.wav
6,A,Aunlabelledtest__201101220549.wav
7,A,Aunlabelledtest__201101241434.wav
8,A,Aunlabelledtest__201102081033.wav
9,A,Aunlabelledtest__201102081045.wav
10,A,Aunlabelledtest__201102200848.wav
11,A,Aunlabelledtest__201103011036.wav
12,A,Aunlabelledtest__201103140236.wav
13,A,Aunlabelledtest__201103170122.wav
14,A,Aunlabelledtest__201103200518.wav
15,A,Aunlabelledtest__201103201314.wav
16,A,Aunlabelledtest__201103232251.wav
17,A,Aunlabelledtest__201103241336.wav
18,A,Aunlabelledtest__201104012144.wav
19,A,Aunlabelledtest__2011040239.wav
20,A,Aunlabelledtest__201105011546.wav
21,A,Aunlabelledtest__20110501548.wav
22,A,Aunlabelledtest__201105031730.wav
23,A,Aunlabelledtest__201106010807.wav
24,A,Aunlabelledtest__201106030607.wav
25,A,Aunlabelledtest__201106031556.wav
26,A,Aunlabelledtest__201106040930.wav
27,A,Aunlabelledtest__201106061104.wav
28,A,Aunlabelledtest__201106061215.wav
29,A,Aunlabelledtest__201106100606.wav
30,A,Aunlabelledtest__201106111419.wav
31,A,Aunlabelledtest__201106120928.wav
32,A,Aunlabelledtest__201106130440.wav
33,A,Aunlabelledtest__201106150614.wav
34,A,Aunlabelledtest__201106170857.wav
35,A,Aunlabelledtest__201106171155.wav
36,A,Aunlabelledtest__201106191034.wav
37,A,Aunlabelledtest__201106211725.wav
38,A,Aunlabelledtest__201106212102.wav
39,A,Aunlabelledtest__201108011111.wav
40,A,Aunlabelledtest__201108011113.wav
41,A,Aunlabelledtest__201108011116.wav
42,A,Aunlabelledtest__201108011117.wav
43,A,Aunlabelledtest__201108222222.wav
44,A,Aunlabelledtest__201108222225.wav
45,A,Aunlabelledtest__201108222228.wav
46,A,Aunlabelledtest__201108222234.wav
47,A,Aunlabelledtest__201108222241.wav
48,A,Aunlabelledtest__201108222244.wav
49,A,Aunlabelledtest__201108222247.wav
50,A,Aunlabelledtest__201108222254.wav
51,A,Aunlabelledtest__201108222257.wav
52,B,Bunlabelledtest__101_1305030823364_A.wav
53,B,Bunlabelledtest__101_1305030823364_D.wav
54,B,Bunlabelledtest__101_1305030823364_F.wav
55,B,Bunlabelledtest__103_1305031931979_A.wav
56,B,Bunlabelledtest__103_1305031931979_C.wav
57,B,Bunlabelledtest__105_1305033453095_B.wav
58,B,Bunlabelledtest__105_1305033453095_D.wav
59,B,Bunlabelledtest__106_1306776721273_B.wav
60,B,Bunlabelledtest__106_1306776721273_D.wav
61,B,Bunlabelledtest__107_1305654946865_B.wav
62,B,Bunlabelledtest__107_1305654946865_D.wav
63,B,Bunlabelledtest__108_1305654420093_C.wav
64,B,Bunlabelledtest__109_1305653646620_B.wav
65,B,Bunlabelledtest__109_1305653646620_D.wav
66,B,Bunlabelledtest__109_1305653972028_B.wav
67,B,Bunlabelledtest__109_1305653972028_D.wav
68,B,Bunlabelledtest__110_1305655332337_D.wav
69,B,Bunlabelledtest__112_1306243000964_C.wav
70,B,Bunlabelledtest__113_1306244002866_C.wav
71,B,Bunlabelledtest__115_1306259437619_D.wav
72,B,Bunlabelledtest__116_1306258689913_B.wav
73,B,Bunlabelledtest__117_1306262456650_B1.wav
74,B,Bunlabelledtest__118_1306262335509_A.wav
75,B,Bunlabelledtest__118_1306262335509_A1.wav
76,B,Bunlabelledtest__118_1306262335509_C2.wav
77,B,Bunlabelledtest__121_1306263877235_B.wav
78,B,Bunlabelledtest__122_1306325762831_A.wav
79,B,Bunlabelledtest__122_1306325762831_B.wav
80,B,Bunlabelledtest__123_1306331925797_A.wav
81,B,Bunlabelledtest__123_1306331925797_D.wav
82,B,Bunlabelledtest__125_1306332456645_B2.wav
83,B,Bunlabelledtest__126_1306777102824_C1.wav
84,B,Bunlabelledtest__126_1306777102824_D1.wav
85,B,Bunlabelledtest__127_1306764300147_D.wav
86,B,Bunlabelledtest__128_1306344005749_C.wav
87,B,Bunlabelledtest__129_1306344506305_B.wav
88,B,Bunlabelledtest__130_1306347376079_A.wav
89,B,Bunlabelledtest__132_1306758754432_A.wav
90,B,Bunlabelledtest__132_1306758754432_B.wav
91,B,Bunlabelledtest__132_1306758754432_D.wav
92,B,Bunlabelledtest__134_1306428161797_A.wav
93,B,Bunlabelledtest__134_1306428161797_B.wav
94,B,Bunlabelledtest__135_1306428972976_D.wav
95,B,Bunlabelledtest__136_1306429977501_A.wav
96,B,Bunlabelledtest__136_1306429977501_D.wav
97,B,Bunlabelledtest__137_1306764999211_A.wav
98,B,Bunlabelledtest__137_1306764999211_B1.wav
99,B,Bunlabelledtest__137_1306764999211_D2.wav
100,B,Bunlabelledtest__138_1306762146980_C.wav
101,B,Bunlabelledtest__139_1306519274653_B.wav
102,B,Bunlabelledtest__139_1306519274653_C.wav
103,B,Bunlabelledtest__141_1306520154450_A.wav
104,B,Bunlabelledtest__141_1306520154450_D.wav
105,B,Bunlabelledtest__142_1306763049574_C.wav
106,B,Bunlabelledtest__143_1306763822290_D.wav
107,B,Bunlabelledtest__144_1306522408528_A.wav
108,B,Bunlabelledtest__145_1307987561278_A.wav
109,B,Bunlabelledtest__145_1307987561278_D.wav
110,B,Bunlabelledtest__146_1306778707532_C.wav
111,B,Bunlabelledtest__146_1306778707532_D31.wav
112,B,Bunlabelledtest__147_1306523973811_D.wav
113,B,Bunlabelledtest__148_1306768801551_A.wav
114,B,Bunlabelledtest__148_1306768801551_C.wav
115,B,Bunlabelledtest__148_1306768801551_D.wav
116,B,Bunlabelledtest__149_1306776016110_C.wav
117,B,Bunlabelledtest__150_1306776340746_D.wav
118,B,Bunlabelledtest__151_1306779785624_A1.wav
119,B,Bunlabelledtest__152_1306779561195_B.wav
120,B,Bunlabelledtest__152_1306779561195_C.wav
121,B,Bunlabelledtest__152_1306779561195_D1.wav
122,B,Bunlabelledtest__153_1306848820671_D.wav
123,B,Bunlabelledtest__154_1306935608852_A.wav
